3000	 0.2	 Bubonic Bitch	 0.8	 0.4
Next Time Step Initiating...
Time Step #1 has started
person#0 has infected person#2814
person#0 has infected person#1848
person#0 has infected person#1207
person#0 has infected person#428
person#0 has infected person#381
person#0 has infected person#2677
person#0 has infected person#1778
person#0 has infected person#414
person#0 has infected person#1218
person#0 has infected person#203
person#0 has infected person#629
person#0 has infected person#397
person#0 has infected person#473
person#0 has infected person#2707
person#0 has infected person#757
person#0 has infected person#1562
person#0 has infected person#1825
person#0 has infected person#2311
person#0 has infected person#2415
person#0 has infected person#1950
person#0 has infected person#1839
person#0 has infected person#789
person#0 has infected person#1783
person#0 has infected person#2569
person#0 has infected person#2437
person#0 has infected person#356
person#0 has infected person#1718
person#0 has infected person#612
person#0 has infected person#1081
person#0 has infected person#153
person#0 has infected person#1650
person#0 has infected person#1645
person#0 has infected person#82
Person#0 has died
person#1 has infected person#2805
person#1 has infected person#933
person#1 has infected person#1314
person#1 has infected person#365
person#1 has infected person#651
person#1 has infected person#711
person#1 has infected person#1122
person#1 has infected person#990
person#1 has infected person#1432
person#1 has infected person#2821
person#1 has infected person#112
person#1 has infected person#2775
person#1 has infected person#2651
person#1 has infected person#34
person#1 has infected person#1157
person#1 has infected person#2668
person#1 has infected person#2954
person#1 has infected person#1657
person#1 has infected person#2751
person#1 has infected person#741
person#1 has infected person#1928
person#1 has infected person#910
person#1 has infected person#1357
person#1 has infected person#2398
Person#1 has Survived the disease
person#2 has infected person#1692
person#2 has infected person#617
person#2 has infected person#820
person#2 has infected person#1874
person#2 has infected person#2931
person#2 has infected person#1570
person#2 has infected person#2175
person#2 has infected person#1019
person#2 has infected person#1278
person#2 has infected person#1253
person#2 has infected person#187
person#2 has infected person#2146
person#2 has infected person#2007
person#2 has infected person#771
person#2 has infected person#1652
person#2 has infected person#537
person#2 has infected person#692
person#2 has infected person#80
person#2 has infected person#2241
person#2 has infected person#2874
person#2 has infected person#38
person#2 has infected person#2530
person#2 has infected person#2038
person#2 has infected person#1209
person#2 has infected person#1968
person#2 has infected person#11
person#2 has infected person#2023
person#2 has infected person#1212
person#2 has infected person#205
person#2 has infected person#1346
Person#2 has died
person#3 has infected person#2546
person#3 has infected person#749
person#3 has infected person#683
person#3 has infected person#2975
person#3 has infected person#652
person#3 has infected person#1794
person#3 has infected person#2504
person#3 has infected person#1999
person#3 has infected person#1805
person#3 has infected person#1973
person#3 has infected person#2510
person#3 has infected person#1313
person#3 has infected person#1139
person#3 has infected person#962
person#3 has infected person#1835
person#3 has infected person#1688
person#3 has infected person#2249
person#3 has infected person#2303
person#3 has infected person#1861
person#3 has infected person#467
person#3 has infected person#908
person#3 has infected person#1676
person#3 has infected person#2502
person#3 has infected person#1609
person#3 has infected person#2935
person#3 has infected person#2065
person#3 has infected person#2043
Person#3 has died
person#4 has infected person#2369
person#4 has infected person#525
person#4 has infected person#1120
person#4 has infected person#546
person#4 has infected person#2098
person#4 has infected person#2141
person#4 has infected person#1560
person#4 has infected person#2745
person#4 has infected person#1026
person#4 has infected person#1208
person#4 has infected person#2216
person#4 has infected person#2806
person#4 has infected person#2261
person#4 has infected person#2652
person#4 has infected person#792
person#4 has infected person#305
person#4 has infected person#2104
person#4 has infected person#2279
person#4 has infected person#23
person#4 has infected person#163
person#4 has infected person#2444
person#4 has infected person#2711
person#4 has infected person#2069
person#4 has infected person#376
person#4 has infected person#2717
person#4 has infected person#1477
Person#4 has Survived the disease
person#11 has infected person#36
person#11 has infected person#2544
person#11 has infected person#464
person#11 has infected person#179
person#11 has infected person#788
person#11 has infected person#2567
person#11 has infected person#2810
person#11 has infected person#155
person#11 has infected person#222
person#11 has infected person#2285
person#11 has infected person#1669
person#11 has infected person#69
person#11 has infected person#2532
person#11 has infected person#297
person#11 has infected person#2059
person#11 has infected person#2809
person#11 has infected person#354
person#11 has infected person#1792
person#11 has infected person#2706
person#11 has infected person#590
person#11 has infected person#2273
person#11 has infected person#171
person#11 has infected person#2443
person#11 has infected person#1248
person#11 has infected person#2973
person#11 has infected person#583
person#11 has infected person#1035
person#11 has infected person#299
person#11 has infected person#275
person#11 has infected person#1355
person#11 has infected person#2684
person#11 has infected person#1754
person#11 has infected person#1282
person#11 has infected person#1472
Person#11 has died
person#23 has infected person#804
person#23 has infected person#2566
person#23 has infected person#2416
person#23 has infected person#608
person#23 has infected person#1191
person#23 has infected person#1625
person#23 has infected person#2105
person#23 has infected person#949
person#23 has infected person#1513
person#23 has infected person#2738
person#23 has infected person#1479
person#23 has infected person#190
person#23 has infected person#2656
person#23 has infected person#712
person#23 has infected person#1550
person#23 has infected person#2116
person#23 has infected person#2474
person#23 has infected person#942
person#23 has infected person#2635
person#23 has infected person#615
person#23 has infected person#1962
person#23 has infected person#1683
person#23 has infected person#176
person#23 has infected person#659
person#23 has infected person#601
person#23 has infected person#1972
person#23 has infected person#2461
person#23 has infected person#2092
person#23 has infected person#941
person#23 has infected person#444
person#23 has infected person#394
Person#23 has Survived the disease
person#34 has infected person#2456
person#34 has infected person#481
person#34 has infected person#2700
person#34 has infected person#1723
person#34 has infected person#1757
person#34 has infected person#343
person#34 has infected person#774
person#34 has infected person#1674
person#34 has infected person#2397
person#34 has infected person#2787
person#34 has infected person#1981
person#34 has infected person#2889
person#34 has infected person#662
person#34 has infected person#2895
person#34 has infected person#361
person#34 has infected person#1518
person#34 has infected person#2134
person#34 has infected person#1798
person#34 has infected person#2122
person#34 has infected person#147
person#34 has infected person#2682
person#34 has infected person#644
person#34 has infected person#1636
person#34 has infected person#2120
person#34 has infected person#2882
person#34 has infected person#2387
person#34 has infected person#1132
person#34 has infected person#2060
person#34 has infected person#2354
person#34 has infected person#1974
person#34 has infected person#276
Person#34 has died
person#36 has infected person#1016
person#36 has infected person#1400
person#36 has infected person#1448
person#36 has infected person#2349
person#36 has infected person#846
person#36 has infected person#1458
person#36 has infected person#436
person#36 has infected person#1975
person#36 has infected person#2093
person#36 has infected person#2214
person#36 has infected person#1884
person#36 has infected person#1063
person#36 has infected person#1076
person#36 has infected person#1405
person#36 has infected person#1736
person#36 has infected person#1524
person#36 has infected person#2340
person#36 has infected person#803
person#36 has infected person#39
person#36 has infected person#2046
person#36 has infected person#2951
person#36 has infected person#1993
person#36 has infected person#195
person#36 has infected person#2828
person#36 has infected person#1064
person#36 has infected person#1055
person#36 has infected person#1686
person#36 has infected person#1165
person#36 has infected person#321
person#36 has infected person#324
person#36 has infected person#1284
person#36 has infected person#2640
Person#36 has Survived the disease
person#38 has infected person#327
person#38 has infected person#1626
person#38 has infected person#340
person#38 has infected person#2531
person#38 has infected person#1596
person#38 has infected person#698
person#38 has infected person#2208
person#38 has infected person#2210
person#38 has infected person#637
person#38 has infected person#558
person#38 has infected person#1954
person#38 has infected person#2445
person#38 has infected person#1549
person#38 has infected person#2804
person#38 has infected person#1691
person#38 has infected person#747
person#38 has infected person#2015
person#38 has infected person#79
person#38 has infected person#2191
person#38 has infected person#418
person#38 has infected person#2978
person#38 has infected person#369
person#38 has infected person#2021
person#38 has infected person#1721
person#38 has infected person#1352
person#38 has infected person#598
person#38 has infected person#1607
person#38 has infected person#1925
person#38 has infected person#2927
person#38 has infected person#1814
person#38 has infected person#137
Person#38 has died
person#39 has infected person#813
person#39 has infected person#1329
person#39 has infected person#2394
person#39 has infected person#995
person#39 has infected person#634
person#39 has infected person#366
person#39 has infected person#2560
person#39 has infected person#439
person#39 has infected person#953
person#39 has infected person#2321
person#39 has infected person#2271
person#39 has infected person#1840
person#39 has infected person#2218
person#39 has infected person#2540
person#39 has infected person#2953
person#39 has infected person#2511
person#39 has infected person#452
person#39 has infected person#273
person#39 has infected person#531
person#39 has infected person#128
person#39 has infected person#1988
person#39 has infected person#1048
person#39 has infected person#290
person#39 has infected person#2617
person#39 has infected person#2970
person#39 has infected person#1578
person#39 has infected person#426
Person#39 has died
person#69 has infected person#2067
person#69 has infected person#1040
person#69 has infected person#2974
person#69 has infected person#2440
person#69 has infected person#1236
person#69 has infected person#633
person#69 has infected person#1885
person#69 has infected person#566
person#69 has infected person#2384
person#69 has infected person#2336
person#69 has infected person#2963
person#69 has infected person#1976
person#69 has infected person#1230
person#69 has infected person#2360
person#69 has infected person#1369
person#69 has infected person#1566
person#69 has infected person#2147
person#69 has infected person#904
person#69 has infected person#1615
person#69 has infected person#1376
person#69 has infected person#1075
person#69 has infected person#1008
person#69 has infected person#1761
person#69 has infected person#2359
person#69 has infected person#1426
person#69 has infected person#1804
person#69 has infected person#956
person#69 has infected person#1531
person#69 has infected person#351
person#69 has infected person#1178
person#69 has infected person#455
Person#69 has died
person#79 has infected person#2203
person#79 has infected person#2737
person#79 has infected person#178
person#79 has infected person#246
person#79 has infected person#272
person#79 has infected person#2703
